model,features,test_r2,test_mae,test_rmse,cv_r2_mean
LinearRegression,without CKD_Status,0.9908945867251631,1.7542556452736735,3.0948921131540277,0.989888049179321
GradientBoosting,without CKD_Status,0.9983042253191241,0.8176029169425949,1.3356102903565215,0.9978461805654707
LinearRegression,WITH CKD_Status (not used in final),0.9931306755756643,1.5500199407538253,2.6881450365325326,
